Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0001,2024-08-02,C2205,Headphones,-5.0,$420.21,pay pal,
T0002,2020-02-10,C3156,Coffee ,469.0,-445.34202525395600,creditcard,Pending
T0003,2025-02-30,C2919,Tablet,-4.0,810.9930123946460,credit card,completed
T0004,2020-08-17,C3009,Tab,-7.0,868.6083413217350,PayPal,Pending
T0005,2025-02-30,C3488,Coffee Machine,-10.0,-763.1224490039420,PayPal,completed
T0006,2021-10-26,C4241,Smartphone,598.0,,PayPal,Completed
,2025-02-30,C1313,Laptop,10.0,,credit card,Completed
T0008,2023-13-01,C4736,Headphones,669.0,-86.92126929493880,Cash,
T0009,,C3387,Tablet,10.0,461.70198437439700,PayPal,
T0010,2025-02-30,C2846,Laptop,-1.0,404.8907066405690,creditcard,Pending
T0011,2023-13-01,C1004,Laptop,10.0,-600.8393093751700,PayPal ,complete
T0012,2023-13-01,C2912,Tablet,608.0,,PayPal ,completed
T0013,2020-03-18,C1692,Smartphone,564.0,,Cash,Completed
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335420,creditcard,Failed
T0015,2025-02-30,C3879,Headphones,-2.0,523.8427581553710,credit card,Pending
T0016,2025-02-30,C2837,Laptop,-3.0,,creditcard,Pending
T0017,2020-07-07,C3776,Smartphone,236.0,-94.55726526729010,credit card,Pending
T0018,2025-02-30,C847,Coffee Ma,7.0,-108.43782406112200,credit card,complete
T0019,2024-02-19,C4871,Smartphone,,,pay pal,Pending
T0020,2025-02-30,C1924,Headphones,-6.0,,pay pal,
T0021,2025-02-30,C1137,Coffee Machine,856.0,-488.8626491104140,Credit Card,Failed
T0022,2023-13-01,C3883,Smartphone,9.0,,creditcard,Completed
T0023,2025-02-30,C4877,Tablet,538.0,-733.8292284642130,PayPal ,complete
T0024,2023-11-03,C828,Coffee Machine,487.0,,Cash,
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675200,PayPal,
T0026,2020-01-01,C1096,Cof,654.0,,PayPal ,complete
T73466,2025-02-30,C2702,Coffee Machine,-5.0,555.6133483579030,creditcard,complete
T0028,2025-02-30,C3025,Smar,7.0,$797.34,PayPal,complete
T0029,2025-02-30,C1345,Smartphone,-5.0,-295.7651514883840,PayPal,Pending
T0030,2021-10-16,C3058,Headphones,5.0,,PayPal ,Failed
T0031,2024-07-17,C3672,Tablet,-5.0,787.9940762988270,Credit Card,completed
T0032,2023-10-05,,Laptop,-7.0,,Credit Card,Completed
T0033,2025-02-30,C1844,Coffee Machine,-3.0,546.7808345069350,PayPal,Failed
T0034,2025-02-30,C1406,Coffee Machine,3.0,-120.68099580920100,creditcard,complete
T0035,2022-07-25,C2579,Coffee Machine,485.0,$970.28,credit card,Completed
T0036,2023-13-01,C292,Laptop,2.0,-596.4257637659890,pay pal,completed
T0037,2023-13-01,C2492,Smartphone,-10.0,$711.71,pay pal,Pending
T0038,2020-06-18,C2208,Laptop,8.0,,creditcard,Failed
T0039,2023-13-01,C4687,Tablet,9.0,,PayPal,completed
T0040,2023-13-01,C3328,Headphones,7.0,,pay pal,Failed
T0041,2023-10-20,C1693,Laptop,865.0,,credit card,Completed
T0042,2021-08-04,C4796,Coffee Machine,8.0,,credit card,Failed
T0043,2025-02-30,C4046,Smartphone,-10.0,,Cash,Pending
T0044,,C246,Smar,-10.0,,Cash,Completed
T0045,2023-13-01,C3393,Smartphone,-5.0,653.3867399963710,creditcard,Pending
T0046,2025-02-30,C2797,Coffee Machine,825.0,-788.7705027101280,PayPal,Completed
T0047,2025-02-30,C2200,Laptop,,,Cash,completed
T0048,2025-02-30,C987,Headphones,-5.0,-527.0952322435780,Credit Card,Pending
T0049,2020-06-18,C4480,Laptop,762.0,,credit card,Completed
T0050,2021-04-23,,Tablet,-6.0,$969.72,PayPal ,Completed
T0051,2025-02-30,C591,Coffee M,272.0,-253.7301092365130,Cash,
T0052,2022-12-20,C4029,Headphones,839.0,-756.3340765354610,PayPal ,Pending
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344300,credit card,Failed
