Date,Store,Product,Price,Quantity,Total Sales
2025-11-25,North Butcher,Beef,$174.84,11,"$1,923.24"
2025-05-27,Fine Cuts MX,Unknown,$143.09,19,"$2,718.71"
2025-12-23,Happy Cow,Chicken,$634.44,3,"$1,903.32"
2025-11-01,The Little Bull,Beef,$151.11,10,
2026-01-05,North Butcher,Beef,$128.61,15,"$1,929.15"
2025-09-18,Happy Cow,Chicken,$153.38,3,$460.14
2025-05-27,Super Meats,Skirt Steak,$78.76,9,$708.84
2025-06-16,North Butcher,Skirt Steak,$119.97,15,"$1,799.55"
2026-03-06,Happy Cow,Ribs,$135.42,8,"$1,083.36"
2025-12-24,Super Meats,Sausage,$191.13,2,$382.26
2026-01-27,Happy Cow,Sausage,$88.96,4,$355.84
2026-04-04,Super Meats,Pork,$160.93,16,"$2,574.88"
2025-07-14,North Butcher,Chicken,$194.09,8,"$1,552.72"
2025-12-20,The Little Bull,Pork,$267.04,13,"$3,471.52"
2025-11-25,Fine Cuts MX,Beef,$71.85,11,$790.35
2025-05-19,North Butcher,Sausage,$110.22,3,$330.66
2025-11-20,North Butcher,Pork,$108.04,7,$756.28
2025-11-22,Fine Cuts MX,Skirt Steak,$134.54,1,$134.54
2025-12-31,Fine Cuts MX,Beef,$208.99,8,"$1,671.92"
2025-12-30,The Little Bull,Skirt Steak,$105.09,3,
2025-08-20,North Butcher,Skirt Steak,$226.90,15,"$3,403.50"
2025-08-28,Fine Cuts MX,Ribs,$157.52,17,"$2,677.84"
2026-03-09,Super Meats,Pork,$144.33,5,$721.65
2026-04-07,Super Meats,Chicken,$110.54,7,$773.78
2025-07-07,North Butcher,Beef,$187.19,2,$374.38
2026-03-30,Happy Cow,Pork,$144.74,12,"$1,736.88"
2025-07-30,North Butcher,Chicken,$102.23,11,"$1,124.53"
2025-07-08,North Butcher,Sausage,$186.20,1,$186.20
2025-09-09,Fine Cuts MX,Chicken,$17.24,5,$86.20
2025-12-31,Fine Cuts MX,Pork,$167.28,15,"$2,509.20"
2026-04-25,Happy Cow,Ribs,$45.42,17,$772.14
2026-04-22,Fine Cuts MX,Ribs,$213.19,7,"$1,492.33"
2025-06-08,North Butcher,Skirt Steak,$153.01,5,$765.05
2026-02-25,Happy Cow,Skirt Steak,$273.16,,$546.32
2025-04-27,Happy Cow,Chicken,$257.94,11,"$2,837.34"
2026-04-22,The Little Bull,Sausage,$211.59,6,
2025-07-21,Fine Cuts MX,Ribs,$179.34,16,"$2,869.44"
2025-11-30,Super Meats,Chicken,$259.52,6,"$1,557.12"
,Fine Cuts MX,Beef,$95.16,3,$285.48
2025-06-20,Happy Cow,Beef,$115.88,7,$811.16
2025-06-28,Fine Cuts MX,Sausage,$181.03,1,$181.03
2025-06-12,Fine Cuts MX,Beef,$141.95,18,"$2,555.10"
2025-12-09,Happy Cow,Skirt Steak,$190.68,16,"$3,050.88"
,Fine Cuts MX,Chicken,$88.46,2,$176.92
2026-04-25,The Little Bull,Sausage,$200.02,9,
2025-11-23,Unknown,Chicken,$157.62,16,"$2,521.92"
2025-08-29,Fine Cuts MX,Chicken,$180.88,11,"$1,989.68"
2025-07-26,Super Meats,Pork,$164.65,18,"$2,963.70"
2026-02-16,Super Meats,Sausage,,3,$342.84
2026-02-13,Super Meats,Sausage,$101.27,16,"$1,620.32"
2025-07-08,Fine Cuts MX,Chicken,$189.35,7,"$1,325.45"
2026-03-01,Happy Cow,Unknown,$181.71,14,"$2,543.94"
2025-11-10,The Little Bull,Beef,$303.05,19,"$5,757.95"
2025-12-11,North Butcher,Beef,,15,"$2,259.75"
2026-01-19,The Little Bull,Skirt Steak,$96.46,14,"$1,350.44"
2025-06-09,North Butcher,Unknown,$174.12,9,"$1,567.08"
2025-06-21,The Little Bull,Skirt Steak,$255.94,1,$255.94
,The Little Bull,Skirt Steak,$227.33,1,$227.33
2025-09-29,Fine Cuts MX,Skirt Steak,$185.51,3,$556.53
2026-01-04,North Butcher,Ribs,$154.62,15,"$2,319.30"
2025-11-05,North Butcher,Ribs,$202.87,17,"$3,448.79"
2025-07-29,Super Meats,Unknown,$152.57,16,"$2,441.12"
2025-05-01,Unknown,Chicken,$124.48,4,$497.92
2025-11-24,Super Meats,Chicken,$182.57,2,$365.14
2025-04-26,Super Meats,Beef,$148.02,17,"$2,516.34"
2025-08-10,Fine Cuts MX,Ribs,$123.27,11,"$1,355.97"
2026-01-28,Super Meats,Skirt Steak,$114.23,5,$571.15
2026-03-07,Happy Cow,Chicken,$183.98,15,"$2,759.70"
2025-12-26,Fine Cuts MX,Chicken,$84.60,5,$423.00
,Super Meats,Skirt Steak,$50.47,9,$454.23
2025-08-15,North Butcher,Skirt Steak,$144.23,16,"$2,307.68"
2025-10-07,Fine Cuts MX,Sausage,$191.59,1,$191.59
2026-01-26,North Butcher,Beef,$256.11,3,$768.33
2026-01-01,Fine Cuts MX,Pork,$201.62,5,"$1,008.10"
2026-04-19,Happy Cow,Beef,$184.95,4,$739.80
2025-05-03,Happy Cow,Skirt Steak,$179.99,10,"$1,799.90"
2025-07-25,North Butcher,Beef,$150.09,5,$750.45
2026-01-17,Happy Cow,Chicken,$182.36,12,"$2,188.32"
2025-06-07,The Little Bull,Skirt Steak,$156.30,1,$156.30
2025-11-30,Happy Cow,Pork,$206.85,8,"$1,654.80"
2025-10-29,Super Meats,Skirt Steak,$172.34,13,"$2,240.42"
2025-05-11,The Little Bull,Chicken,$155.51,17,"$2,643.67"
2025-09-24,Fine Cuts MX,Sausage,$118.89,18,"$2,140.02"
2025-09-20,Fine Cuts MX,Sausage,$132.23,4,$528.92
2025-07-17,Super Meats,Sausage,$39.16,,$117.48
2025-08-16,North Butcher,Chicken,$219.48,18,"$3,950.64"
2025-12-02,Unknown,Beef,$159.02,12,"$1,908.24"
2025-10-04,Fine Cuts MX,Beef,$203.55,3,$610.65
2025-06-30,Super Meats,Skirt Steak,$215.27,13,"$2,798.51"
2025-10-03,Happy Cow,Skirt Steak,$151.05,12,"$1,812.60"
2026-01-27,Happy Cow,Beef,$169.60,19,"$3,222.40"
2026-03-24,North Butcher,Ribs,$143.77,5,$718.85
2025-06-05,North Butcher,Chicken,$207.91,16,"$3,326.56"
,North Butcher,Beef,$189.58,10,"$1,895.80"
2025-05-24,Fine Cuts MX,Beef,$240.68,15,"$3,610.20"
2025-12-04,Super Meats,Chicken,$170.23,12,"$2,042.76"
2025-09-16,Fine Cuts MX,Ribs,$78.03,9,$702.27
2025-05-31,The Little Bull,Chicken,$130.83,5,$654.15
2025-06-08,Super Meats,Chicken,$203.03,17,"$3,451.51"
2025-08-25,Super Meats,Skirt Steak,$161.87,4,$647.48
2025-10-23,The Little Bull,Chicken,$33.02,7,$231.14
2025-12-15,The Little Bull,Sausage,$132.42,7,$926.94
2026-01-17,Happy Cow,Beef,$222.19,8,"$1,777.52"
2026-01-08,North Butcher,Ribs,$54.25,1,$54.25
2025-05-29,The Little Bull,Pork,$122.54,1,$122.54
2025-08-31,The Little Bull,Sausage,$27.04,12,$324.48
2026-02-23,The Little Bull,Ribs,$136.63,11,"$1,502.93"
2026-01-26,North Butcher,Beef,$222.56,1,$222.56
2025-06-29,Unknown,Ribs,$197.96,16,"$3,167.36"
,Fine Cuts MX,Beef,$106.22,8,$849.76
2025-06-21,Happy Cow,Chicken,$138.26,8,"$1,106.08"
2025-10-20,Happy Cow,Skirt Steak,$54.36,13,$706.68
2025-08-19,The Little Bull,Chicken,$168.12,14,"$2,353.68"
2025-11-19,The Little Bull,Chicken,$234.23,2,$468.46
2026-03-06,Fine Cuts MX,Sausage,$63.48,,$825.24
2025-07-08,Happy Cow,Beef,$144.60,15,"$2,169.00"
2026-01-04,The Little Bull,Skirt Steak,$226.36,17,"$3,848.12"
2025-04-30,North Butcher,Beef,$70.28,16,"$1,124.48"
2026-01-16,Super Meats,Beef,$120.03,5,$600.15
2025-06-25,North Butcher,Chicken,$225.81,5,"$1,129.05"
2025-06-20,Happy Cow,Sausage,$165.62,14,"$2,318.68"
2025-07-29,The Little Bull,Sausage,$106.39,1,$106.39
2025-08-02,Happy Cow,Sausage,$582.25,8,"$4,658.00"
2025-09-08,Happy Cow,Sausage,$213.77,18,"$3,847.86"
2025-11-04,North Butcher,Sausage,$145.42,5,$727.10
2025-10-22,Fine Cuts MX,Sausage,$121.84,15,"$1,827.60"
2025-05-10,Fine Cuts MX,Sausage,$276.96,11,"$3,046.56"
2025-07-29,Super Meats,Ribs,$63.46,19,"$1,205.74"
2026-01-16,The Little Bull,Chicken,$222.22,6,"$1,333.32"
2025-07-29,Happy Cow,Beef,$55.81,17,$948.77
2025-07-23,Super Meats,Ribs,$169.20,2,$338.40
2025-07-26,Super Meats,Beef,$148.37,16,"$2,373.92"
2026-01-20,North Butcher,Skirt Steak,$94.91,8,$759.28
2026-04-02,The Little Bull,Skirt Steak,$152.19,18,"$2,739.42"
2025-10-24,Super Meats,Chicken,$203.68,5,"$1,018.40"
2026-01-31,North Butcher,Skirt Steak,$152.54,5,$762.70
2025-06-13,North Butcher,Unknown,$125.57,2,$251.14
2025-11-05,North Butcher,Skirt Steak,$118.74,,"$1,781.10"
2025-09-17,North Butcher,Ribs,$136.32,11,"$1,499.52"
,Happy Cow,Unknown,$192.57,17,"$3,273.69"
2025-05-15,North Butcher,Skirt Steak,$118.98,15,"$1,784.70"
2025-09-16,Happy Cow,Skirt Steak,$74.24,2,$148.48
2025-12-31,Super Meats,Beef,$303.94,13,"$3,951.22"
2026-02-08,The Little Bull,Ribs,$205.98,19,"$3,913.62"
2025-09-17,Super Meats,Unknown,$140.65,17,"$2,391.05"
2025-11-21,Super Meats,Pork,$147.61,12,"$1,771.32"
2025-11-12,Fine Cuts MX,Chicken,$41.17,9,$370.53
2025-12-18,Fine Cuts MX,Chicken,$130.45,15,"$1,956.75"
2025-08-06,Fine Cuts MX,Sausage,$223.97,10,"$2,239.70"
,Happy Cow,Ribs,$249.31,2,$498.62
2025-07-14,Fine Cuts MX,Sausage,$174.83,6,"$1,048.98"
2025-07-09,Fine Cuts MX,Beef,$140.29,11,"$1,543.19"
2025-09-14,North Butcher,Sausage,$158.70,11,"$1,745.70"
2025-07-07,Super Meats,Skirt Steak,$195.39,17,"$3,321.63"
2025-05-12,North Butcher,Beef,,11,"$1,961.52"
2025-09-30,Super Meats,Chicken,$191.59,12,"$2,299.08"
2025-10-29,Super Meats,Pork,$104.52,17,"$1,776.84"
2025-09-25,Happy Cow,Pork,$181.93,14,"$2,547.02"
2025-07-22,Unknown,Chicken,$146.70,11,"$1,613.70"
2025-07-21,Fine Cuts MX,Pork,$89.45,10,$894.50
2026-03-08,Happy Cow,Sausage,$181.33,44,"$7,978.52"
2025-10-05,Fine Cuts MX,Skirt Steak,$99.37,9,$894.33
2026-01-10,Super Meats,Beef,$61.49,17,"$1,045.33"
2025-07-16,Super Meats,Pork,$98.37,18,"$1,770.66"
2026-03-13,North Butcher,Chicken,$154.33,8,"$1,234.64"
2026-01-01,Fine Cuts MX,Beef,$142.22,3,$426.66
2025-05-12,North Butcher,Ribs,$164.49,4,$657.96
2025-07-24,Super Meats,Chicken,$253.77,18,"$4,567.86"
2025-12-28,Fine Cuts MX,Pork,$116.18,6,$697.08
2025-08-25,Super Meats,Unknown,$38.48,1,$38.48
2025-08-21,Fine Cuts MX,Chicken,$191.47,8,"$1,531.76"
